Ano,Jogo
1995,Mortal Kombat III
1996,Super Mario 64
1997,Mario Kart 64
1998,The Legend of Zelda: Ocarina of Time
1999,Donkey Kong 64
2000,Pokémon Stadium
2001,Madden NFL 2002
2002,Grand Theft Auto: Vice City
2003,Madden NFL 2004
2004,Grand Theft Auto: San Andreas
2005,Madden NFL 06
2006,Madden NFL 07
2007,Guitar Hero III: Legends of Rock
2008,Rock Band
2009,Call of Duty: Modern Warfare 2
2010,Call of Duty: Black Ops
2011,Call of Duty: Modern Warfare 3
2012,Call of Duty: Black Ops II
2013,Grand Theft Auto V
2014,Call of Duty: Advanced Warfare
2015,Call of Duty: Black Ops II
2016,Call of Duty: Infinite Warfare
2017,Call of Duty: WWII
2018,Red Dead Redemption 2
2019,Call of Duty: Modern Warfare